Datum,Stadt,Niederschlag,Sonnenschein
2019-10-14,Frankfurt,0,1
2019-10-15,Frankfurt,1.6,2
2019-10-16,Frankfurt,0.9,1
2019-10-17,Frankfurt,10.4,1
2019-10-18,Frankfurt,1.3,2
2019-10-19,Frankfurt,3.4,1
2019-10-20,Frankfurt,1.0,1
2019-10-14,Offenbach,2,-
2019-10-15,Offenbach,5.2,-
2019-10-16,Offenbach,1.8,-
2019-10-17,Offenbach,6.9,-
2019-10-18,Offenbach,3.1,-
2019-10-19,Offenbach,3.2,-
2019-10-20,Offenbach,0.8,-
2019-10-14,Berlin,0,10
2019-10-15,Berlin,0,9
2019-10-16,Berlin,4.9,6
2019-10-17,Berlin,0.5,2
2019-10-18,Berlin,1.8,6
2019-10-19,Berlin,0,2
2019-10-20,Berlin,0,6
2019-10-14,Muenchen,0,9
2019-10-15,Muenchen,4.6,10
2019-10-16,Muenchen,0,9
2019-10-17,Muenchen,0,9
2019-10-18,Muenchen,0.1,11
2019-10-19,Muenchen,0,8
2019-10-20,Muenchen,0,9
2019-10-14,Hamburg,0,5
2019-10-15,Hamburg,21.2,8
2019-10-16,Hamburg,4,2
2019-10-17,Hamburg,2.5,1
2019-10-18,Hamburg,1.7,2
2019-10-19,Hamburg,1.8,1
2019-10-20,Hamburg,10.6,1
2021-12-27,Köln,0,8
